player,"player_
cards",banker,"banker_
cards",final,advice,"big_eye_
banker",small_banker,"cockroach_
banker",big_eye_player,small_player,cockroach_player
6,"Q,6",8,"1,7",2,莊,藍,藍,藍,紅,紅,紅
7,"4,3",1,"5,10,6",6,閒,藍,紅,紅,紅,藍,藍
6,"J,6",0,"7,6,7",6,閒,紅,紅,藍,藍,藍,紅
0,"Q,Q",9,"K,9",9,莊,藍,藍,藍,紅,紅,紅
6,"8,8",7,"7,J",1,莊,紅,藍,藍,藍,紅,紅
9,"9,Q",3,"J,3",6,閒,藍,紅,紅,紅,藍,藍
9,"8,1",4,"6,8",5,閒,藍,藍,紅,紅,紅,藍
3,"K,3",9,"3,6",6,莊,紅,紅,藍,藍,藍,紅
8,"Q,J,8",7,"K,1,6",1,閒,藍,藍,藍,紅,紅,紅
1,"6,9,6",7,"J,7",6,莊,藍,藍,藍,紅,紅,紅
1,"9,2",8,"4,4",7,莊,紅,紅,紅,藍,藍,藍
7,"7,Q",1,"8,3,J",6,閒,藍,紅,紅,紅,藍,藍
9,"5,J,4",9,"1,1,7",0,和,藍,藍,藍,紅,紅,紅
8,"8,J",8,"7,1",0,和,藍,藍,藍,紅,紅,紅
8,"J,8",1,"1,10",7,閒,藍,藍,藍,紅,紅,紅
0,"9,1,Q",4,"1,3",4,莊,紅,紅,藍,藍,藍,紅
6,"J,J,6",0,"5,5,J",6,閒,紅,紅,紅,藍,藍,藍
7,"7,J",4,"2,2,10",3,閒,紅,藍,藍,藍,紅,紅
7,"7,J",5,"9,1,5",2,閒,藍,紅,紅,紅,藍,藍
7,"9,5,3",8,"K,10,8",1,莊,藍,藍,藍,紅,紅,紅
8,"5,3",0,"J,10",8,閒,紅,藍,紅,藍,紅,藍
7,"9,8",4,"10,4,J",3,閒,藍,紅,藍,紅,藍,紅
3,"5,8",9,"2,7",6,莊,藍,藍,藍,紅,紅,紅
6,"1,K,5",3,"2,8,3",3,閒,紅,藍,紅,藍,紅,藍
0,"4,6",9,"9,K",9,莊,紅,藍,紅,藍,紅,藍
9,"2,7",7,"8,9",2,閒,藍,藍,紅,紅,紅,藍
4,"10,4,Q",9,"2,K,7",5,莊,,,,,,
4,"6,7,1",7,"7,J",3,莊,,,,,,
8,"7,7,4",6,"10,6",2,閒,,,,,,
6,"Q,6",4,"8,6,K",2,閒,藍,,,紅,,
3,"Q,Q,3",7,"10,7",4,莊,紅,,,藍,,
3,"J,J,3",1,"K,K,1",2,閒,紅,紅,,藍,藍,
7,"8,4,5",7,"10,7",0,和,紅,藍,藍,藍,紅,紅
7,"9,8",9,"1,9,9",2,莊,紅,藍,藍,藍,紅,紅
7,"Q,1,6",3,"4,Q,9",4,閒,藍,藍,紅,紅,紅,藍
9,"7,2",3,"8,5",6,閒,紅,紅,紅,藍,藍,藍
7,"9,1,7",1,"9,1,1",6,閒,藍,藍,藍,紅,紅,紅
7,"J,Q,7",8,"3,3,2",1,莊,藍,藍,藍,紅,紅,紅
3,"6,7",9,"9,K",6,莊,紅,藍,藍,藍,紅,紅
8,"4,2,1,1",6,"6,3,7",2,閒
3,"4,9,J",8,"1,2,5",5,莊
5,"5,4,6",2,"3,9,Q",3,閒
2,"4,3,5",4,"3,5,6",2,莊
0,"4,6,Q",4,"10,J,4",4,莊
5,"5,Q,K",0,"3,7,Q",5,閒,,,,,,
9,"8,1",9,"Q,9",0,和,藍,藍,藍,紅,紅,紅
9,"7,3,9",3,"9,4,J",6,閒,藍,藍,藍,紅,紅,紅
7,"7,J",6,"Q,6",1,閒,藍,藍,藍,紅,紅,紅
1,"6,5,J",5,"2,3",4,莊,藍,藍,藍,紅,紅,紅
7,"2,1,4",5,"K,5,J",2,閒,紅,藍,藍,藍,紅,紅
6,"4,2",6,"6,Q",0,和,紅,藍,紅,藍,紅,藍
6,"5,9,2",0,"K,10,Q",6,閒,紅,藍,紅,藍,紅,藍
1,"4,7,K",3,"5,8,J",2,莊,藍,藍,藍,紅,紅,紅
4,"4,K,Q",7,"1,J,6",3,莊,紅,藍,紅,藍,紅,藍
4,"8,6,J",6,"6,10",2,莊,藍,紅,紅,紅,藍,藍
0,"J,K",9,"10,9",9,莊,紅,紅,紅,藍,藍,藍
4,"7,7,J",5,"2,3",1,莊,紅,紅,紅,藍,藍,藍
0,"K,10,Q",7,"K,7",7,莊,紅,紅,紅,藍,藍,藍
0,"3,7",9,"Q,9",9,莊,紅,紅,紅,藍,藍,藍
9,"8,1",7,"7,Q",2,閒,紅,紅,紅,藍,藍,藍
9,"Q,9",6,"10,6",3,閒,藍,藍,紅,紅,紅,藍
8,"Q,8",8,"2,6",0,和,藍,紅,藍,紅,藍,紅
7,"10,7",6,"2,4",1,閒,藍,紅,藍,紅,藍,紅
2,"9,2,1",4,"5,6,3",2,莊,藍,藍,藍,紅,紅,紅
0,"4,6",9,"9,Q",9,莊,紅,紅,紅,藍,藍,藍
9,"1,4,4",7,"10,7",2,閒,紅,紅,藍,藍,藍,紅
4,"K,4",9,"10,1,8,Q",5,莊,藍,藍,藍,紅,紅,紅
6,"6,J",2,"2,2,8",4,閒,紅,藍,藍,藍,紅,紅
9,"9,10",3,"K,3",6,閒,藍,紅,藍,紅,藍,紅
0,"2,8,J",9,"J,K,9",9,莊,藍,藍,藍,紅,紅,紅
0,"4,6,10",5,"10,K,5",5,莊,紅,紅,紅,藍,藍,藍
